participant_id,random_seed,target_word,left_image,right_image,response,correct,rt
20260509222402160423_932711,20260509222402160423,red ball,red ball,car,f,1,0.44588398933410645
20260509222402160423_932711,20260509222402160423,red ball,red ball,football,f,1,0.3918485641479492
20260509222402160423_932711,20260509222402160423,lion,clown,lion,j,1,0.4268615245819092
20260509222402160423_932711,20260509222402160423,sneaker,pan,sneaker,j,1,0.43523502349853516
20260509222402160423_932711,20260509222402160423,lion,lion,clown,f,1,0.3972597122192383
20260509222402160423_932711,20260509222402160423,lion,lion,tiger,f,1,0.3925666809082031
20260509222402160423_932711,20260509222402160423,chair,phone,chair,j,1,0.455629825592041
20260509222402160423_932711,20260509222402160423,sneaker,sneaker,pan,f,1,0.3824119567871094
20260509222402160423_932711,20260509222402160423,sneaker,sneaker,sock,f,1,0.38128089904785156
20260509222402160423_932711,20260509222402160423,chair,cabinet,chair,j,1,0.38807082176208496
20260509222402160423_932711,20260509222402160423,red ball,red ball,soccer_ball,f,1,0.2795438766479492
20260509222402160423_932711,20260509222402160423,red ball,soccer_ball,red ball,j,1,0.317368745803833
20260509222402160423_932711,20260509222402160423,chair,chair,phone,f,1,0.3280153274536133
20260509222402160423_932711,20260509222402160423,red ball,football,red ball,j,1,0.310760498046875
20260509222402160423_932711,20260509222402160423,lion,lion,bird,f,1,0.3798248767852783
20260509222402160423_932711,20260509222402160423,chair,table,chair,j,1,0.38246655464172363
20260509222402160423_932711,20260509222402160423,lion,tiger,lion,j,1,0.49385833740234375
20260509222402160423_932711,20260509222402160423,sneaker,heels,sneaker,f,0,0.40076732635498047
20260509222402160423_932711,20260509222402160423,chair,chair,cabinet,f,1,0.3974881172180176
20260509222402160423_932711,20260509222402160423,sneaker,sock,sneaker,j,1,0.4572408199310303
20260509222402160423_932711,20260509222402160423,lion,bird,lion,j,1,0.3964419364929199
20260509222402160423_932711,20260509222402160423,chair,chair,table,f,1,0.38295960426330566
20260509222402160423_932711,20260509222402160423,red ball,car,red ball,j,1,0.33913612365722656
20260509222402160423_932711,20260509222402160423,sneaker,sneaker,heels,j,0,0.37759828567504883
